Ano Fato;Município;Desc Longa Subclasse Nat Principal;Tentado/Consumado Nat Principal;Bairro;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Qtde Ocorrências;MesOcorrencia;DiaOcorrencia;TurnoOcorrencia
2019;BELO HORIZONTE;FURTO;CONSUMADO;ANTONIO RIBEIRO DE ABREU;AVENIDA;ANTONIO RIBEIRO DE ABREU;1;2;3;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIJA-FLOR;RUA;AMARAL;1;2;3;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIJA-FLOR;RUA;MOREIRAS;1;3;3;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIRA-LINHA;RUA;AROEIRA DO SERTAO;1;8;2;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIRA-LINHA;RUA;DOM SILVERIO GOMES PIMENTA;2;9;7;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIRA-LINHA;RUA;JORNALISTA ABRAHAO SADI;1;6;4;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIRA-LINHA;RUA;JORNALISTA MILTON CURY;1;3;7;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIRA-LINHA;RUA;MARILANDIA;1;4;7;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIRA-LINHA;RUA;PADRE ARGEMIRO MOREIRA;9;6;6;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;BEIRA-LINHA;RUA;TALES;1;7;2;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELA VITORIA;RUA;PROFESSOR WLADIMIR GOMES;2;8;6;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;ANIS;1;7;6;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;ANTONIO RIBEIRO DE ABREU;1;8;1;1
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;DOM AQUINO;1;3;3;1
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;DOM CABRAL;1;4;4;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;DOM HELDER CAMARA;1;8;1;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;DOMINGOS RODRIGUES COSTA;1;5;5;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;DOM SILVERIO GOMES PIMENTA;2;9;2;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;JORNALISTA ABRAHAO SADI;5;2;2;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;JOSE DIAS FERREIRA;1;8;4;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;JOSE DOS REIS PEREIRA;2;1;2;2
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;NOSSA SENHORA DO AMPARO;1;9;4;1
2019;BELO HORIZONTE;FURTO;CONSUMADO;BELMONTE;RUA;TALES;1;4;5;3
2019;BELO HORIZONTE;FURTO;CONSUMADO;CACHOEIRINHA;AVENIDA;BERNARDO DE VASCONCELOS;23;4;1;2
